Load Cells,,,,,,,5x5 cm Surfaces,A=0.0025m2,,,,,
,,,,,,,44mm Solid,,,,,,
44mm Solid Vertical ,High Gain,,,,,,Vertical,,V/MPa,MPa/bit,,,
,328.6554705,mV/kN,Updated,1/14/20,by: Bolton/Krogh/Shreedharan/Wood,,,20V,,7.2093E-06,,,
,Low Gain,,,,,,,10V,,3.60465E-06,,,
,33.0709703,mV/kN,Updated,1/14/20,by: Bolton/Krogh/Shreedharan/Wood,,,,,,,,
,,,,,,,Horizontal,,,,,,
44mm Solid Horizontal,High Gain,,,,,,,20V HG,0.298258172,3.99685E-06,,,
,119.3032689,mV/kN,Updated,1/14/20,by: Bolton/Krogh/Shreedharan/Wood,,,20V LG,0.030524334,3.90539E-05,,,
,Low Gain,,,,,,,10V HG,0.298258172,1.99842E-06,,,
,12.20973343,mV/kN,Updated,1/14/20,by: Bolton/Krogh/Shreedharan/Wood,,,10V LG,0.030524334,1.95269E-05,,,
,,,,,,,62mm,,,,,,
62mm Vertical,,,,,,,Vertical,,,,,,
,19.72979,mV/kN,Updated,7/25/18,by: Witham/Wood/Shreedharan,,,20V,,1.20842E-05,,,
,,,,,,,,10V,,6.0421E-06,,,
62mm Horizontal,High Gain,,,,,,,,,,,,
,172.0985,mV/kN,Updated,7/25/18,by: Witham/Wood/Shreedharan,,Horizontal,,,,,,
,Low Gain,,,,,,,20V HG,0.43024625,2.77072E-06,,,
,18.561,mV/kN,Updated,7/25/18,by: Witham/Wood/Shreedharan,,,20V LG,0.0464025,2.56903E-05,,,
,,,,,,,,10V HG,0.43024625,1.38536E-06,,,
,,,,,,,,10V LG,0.0464025,1.28451E-05,,,
,,,,,,,10x10 cm  Surfaces,A=0.01m2,,,,,
,,,,,,,44mm Solid,,,,,,
,,,,,,,Vertical,,V/MPa,MPa/bit,,,
,,,,,,,,20V,,1.80233E-06,,,
,,,,,,,,10V,,9.01163E-07,,,
,,,,,,,,,,,,,
,,,,,,,Horizontal,,,,,,
,,,,,,,,20V HG,1.193032689,9.99212E-07,,,
,,,,,,,,20V LG,0.122097334,9.76346E-06,,,
,,,,,,,,10V HG,1.193032689,4.99606E-07,,,
,,,,,,,,10V LG,0.122097334,4.88173E-06,,,
,,,,,,,62mm,,,,,,
,,,,,,,Vertical,,,,,,
,,,,,,,,20V,,3.02105E-06,,,
,,,,,,,,10V,,1.51052E-06,,,
,,,,,,,,,,,,,
,,,,,,,Horizontal,,,,,,
,,,,,,,,20V HG,1.720985,6.92681E-07,,,
,,,,,,,,20V LG,0.18561,6.42257E-06,,,
,,,,,,,,10V HG,1.720985,3.4634E-07,,,
,,,,,,,,10V LG,0.18561,3.21128E-06,,,
,,,,,,,6.101x5.404 cm (Vessel 2-frits side blocks),,,A = 0.003294m2,,,
,,,,,,,44mm Solid,,,,,,
,,,,,,,Vertical,,V/MPa,MPa/bit,,,
,,,,,,,,20V,,5.47154E-06,,,
,,,,,,,,10V,,2.73577E-06,,,
,,,,,,,,,,,,,
,,,,,,,Horizontal,,,,,,
,,,,,,,,20V HG,0.392984968,3.03343E-06,,,
,,,,,,,,20V LG,0.040218862,2.96401E-05,,,
,,,,,,,,10V HG,0.392984968,1.51672E-06,,,
,,,,,,,,10V LG,0.040218862,1.48201E-05,,,
,,,,,,,62mm,,,,,,
,,,,,,,Vertical,,,,,,
,,,,,,,,20V,,9.17137E-06,,,
,,,,,,,,10V,,4.58568E-06,,,
,,,,,,,,,,,,,
,,,,,,,Horizontal,,,,,,
,,,,,,,,20V HG,0.566892459,2.10286E-06,,,
,,,,,,,,20V LG,0.061139934,1.94978E-05,,,
,,,,,,,,10V HG,0.566892459,1.05143E-06,,,
,,,,,,,,10V LG,0.061139934,9.74889E-06,,,
,,,,,,,5.699x5.400 cm (Vessel 1-frit side block),,,A=0.003077 m2,,also Vp/Vs Side Blocks,
,,,,,,,44mm Solid,,,,,,
,,,,,,,Vertical,,V/MPa,MPa/bit,,,
,,,,,,,,20V,,5.85741E-06,,,
,,,,,,,,10V,,2.92871E-06,,,
,,,,,,,,,,,,,
,,,,,,,Horizontal,,,,,,
,,,,,,,,20V HG,0.367096158,3.24736E-06,,,
,,,,,,,,20V LG,0.03756935,3.17305E-05,,,
,,,,,,,,10V HG,0.367096158,1.62368E-06,,,
,,,,,,,,10V LG,0.03756935,1.58652E-05,,,
,,,,,,,62mm,,,,,,
,,,,,,,Vertical,,,,,,
,,,,,,,,20V,,9.81816E-06,,,
,,,,,,,,10V,,4.90908E-06,,,
,,,,,,,,,,,,,
,,,,,,,Horizontal,,,,,,
,,,,,,,,20V HG,0.529547085,2.25116E-06,,,
,,,,,,,,20V LG,0.057112197,2.08728E-05,,,
,,,,,,,,10V HG,0.529547085,1.12558E-06,,,
,,,,,,,,10V LG,0.057112197,1.04364E-05,,,
